video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"JlPt99KevN4","Singapūras Satīns - Uz Seen feat. A-EUROPA (OFFICIAL VIDEO)","2022-07-26T07:00:11Z","UCkqpAqKK-5wm-7e6wugq7Og","Singapūras Satīns","10","22.01.08","[none]","45677","0","0","53","https://i.ytimg.com/vi/JlPt99KevN4/default.jpg","False","True","Klausies LUKSUS STONKS: https://luksusstonks.lnk.to/DELUXEIG: https://www.instagram.com/singapursatins/FB: https://www.facebook.com/singapurassatins/PRODUCED BY: CREATIVE SQUAD PRODUCTION (CSQ) DIRECTOR: KĀRLIS ZENNE AKA YUNG MARTINSONS CINEMATOGRAPHER: ELĪNA BOJARKINA, KĀRLIS ZENNEPRODUCER: KĀRLIS ZENNEPRODUCTION DESIGNER: JĀNIS KRĪVĒNSPRODUCTION DESIGNER: MIKS GALVANOVSKISSINTIJA: ELĪNA BOJARKINAJĀNIS: JĀNIS PĒTERSONS JANA: KĀRLIS ZENNEMU ARTIST: ELĪNA BOJARKINAWARDROBE: SINGAPŪRAS SATĪNS DELUXE BOUTIQUE  LIGHTS AND SPECIAL EFFECTS: MIKS GALVANOVSKISKALJAN OPERATOR: VLADJIKBEST BOY: HOTTEBARTENDER: VINETA MAZOĻEVSKAHARD GRIP: EDGARS BĀLIŅŠDRIVER: KĀRLIS ZENNEEDITOR: NAURIS KRŪMIŅŠ, KĀRLIS ZENNECOLOR: NAURIS KRŪMIŅŠ, TIM APPLEVFX AND POST: NAURIS KRŪMIŅŠVocals: Arturs Duboks, Jānis Krīvēns, Edgars Bāliņš, Kārlis Zenne, Eduards Gorbunovs, Rolands ČivčsLyricists: Jānis Krīvēns, Edgars Bāliņš, Kārlis Zenne, Eduards GorbunovsComposers: Jānis Krīvēns, Sandis SiliņšProducers: Silins Beats, rolands čeMix: Jānis Šmēdiņš (PrimeTime)Mastering: Jānis Šmēdiņš (PrimeTime)Special thanks to:LVBETCarguru UMG LatvijaSinners Bar & ClubJānis Krīvēns apartmentsPiensTelegramMustang LatviaAppleThanks for emotional support:Vlaģikam un Pavļikam"
"B-gHb2gPGIs","SIDEMEN TINDER IN REAL LIFE 4 (USA YOUTUBE EDITION)","2022-07-24T16:55:10Z","UCDogdKl7t7NHzQ95aEwkdMw","Sidemen","24","22.01.08","sidemen|sidemen sunday|#sidemensunday","22274803","0","0","46800","https://i.ytimg.com/vi/B-gHb2gPGIs/default.jpg","False","True","IMPAULSIVE:Logan: https://www.youtube.com/c/loganpaulvlogsMike: https://www.youtube.com/c/MikeMajlakVlogsGeorge: https://www.youtube.com/c/GeorgeJankoGIRLS:Elena Kamperi: https://www.instagram.com/elenakamperi/Sky Bri: https://www.instagram.com/realskybri/Ashley Got: https://www.instagram.com/ashley.got/Tana Mongeau: https://www.instagram.com/tanamongeau/Abby Rao: https://www.instagram.com/abbyrao/Juju: https://www.instagram.com/sincerelyjuju/Emily Willis: https://www.instagram.com/emilywillisx3/Mia Malkova: https://www.instagram.com/miamalkova/🎥: Access exclusive content at: https://watch.sideplus.com/checkout/subscribe/purchase🍗: Order food NOW at: https://www.eatsides.com/🍹: XIX Vodka: https://www.xixvodka.com/👉🏻: Subscribe to our Reacts Channel: https://www.youtube.com/SidemenReacts 👈🏻👕: Sidemen Clothing: http://www.sidemenclothing.com👉🏻 Subscribe to our 2nd Channel: https://www.youtube.com/MoreSidemen 👈🏻📸: Sidemen Instagram: http://www.instagram.com/Sidemen🐤: Sidemen Twitter: http://www.twitter.com/Sidemen✏️: SUBMIT A #SidemenSunday IDEA HEREhttps://forms.gle/JDuGrSzM4F6mdo6D9-----------------------------------------------------------------------------------------------------------------------▶️ SIDEMEN ◀️🔵 JOSH (Zerkaa)● http://www.youtube.com/Zerkaa● http://www.youtube.com/ZerkaaPlays● http://www.instagram.com/Zerkaa● http://www.twitter.com/ZerkaaHD🔴 HARRY (W2S)● http://www.youtube.com/W2S● http://www.youtube.com/W2SPlays● http://www.instagram.com/Wroetoshaw● http://www.twitter.com/Wroetoshaw🔵 VIK (Vikkstar123)● http://www.youtube.com/Vikkstar123● http://www.youtube.com/Vikkstar123HD● http://www.youtube.com/VikkstarPlays● http://www.instagram.com/Vikkstagram● http://www.twitter.com/Vikkstar123🔴 JJ (KSI)● http://www.youtube.com/KSI● http://www.youtube.com/KSIOlajidebtHD● http://www.instagram.com/KSI● http://www.twitter.com/KSIOlajidebt🔵 TOBI (Tobjizzle)● http://www.youtube.com/TBJZL● http://www.youtube.com/Editingaming● http://www.instagram.com/Tobjizzle● http://www.twitter.com/Tobjizzle🔴 ETHAN (Behzinga)● http://www.youtube.com/Behzinga● http://www.youtube.com/Beh2inga● http://www.instagram.com/Behzingagram● http://www.twitter.com/Behzinga🔵 SIMON (Miniminter)● http://www.youtube.com/Miniminter● http://www.youtube.com/MM7Games● http://www.instagram.com/Miniminter● http://www.twitter.com/Miniminter"
"tVWWp1PqDus","100 Girls Vs 100 Boys For $500,000","2022-07-23T20:00:09Z","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast","24","22.01.08","[none]","43122997","0","0","100043","https://i.ytimg.com/vi/tVWWp1PqDus/default.jpg","False","True","Giving away $25k on Current! Sign up and use my code “BEAST250” for a chance to win*: https://www.current.com/beast250SUBSCRIBE OR I TAKE YOUR DOG╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ ╠╗║╚╝║║╠╗║╚╣║║║║║═╣╚═╩══╩═╩═╩═╩╝╚╩═╩═╝----------------------------------------------------------------follow all of these or i will kick you• TikTok - https://www.tiktok.com/@mrbeast• Twitter - https://twitter.com/MrBeast• Instagram - https://www.instagram.com/mrbeast• Facebook - https://www.facebook.com/MrBeast6000/• Official Merch  - https://www.shopmrbeast.com/• Beast Philanthropy - https://www.beastphilanthropy.org/Text me @ +1 (917) 259-6364I'm Hiring! - https://www.mrbeastjobs.com/Order a beast burger 🍔 -  https://mrbeastburger.comChocolate 🍫 Win a Tesla or be in a MrBeast video - Buy now ▸ https://feastables.com-----------------------------------------------------------------—Current is a financial technology company, not a bank. Banking services provided by Choice Financial Group, Member FDIC. The Current Visa Debit Card is issued by Choice Financial Group pursuant to a license from Visa U.S.A. Inc. and may be used everywhere Visa debit cards are accepted.*NO PURCHASE OR PAYMENT NECESSARY TO ENTER OR WIN. Open to legal residents of the 50 U.S./D.C., age 18+ (19+ in AL and NE, 21+ in MS). Void outside the 50 U.S./D.C. and where prohibited. Sweepstakes starts at 12:00:01 AM ET on 7/9/22; ends at 11:59:59 PM ET on 10/9/22. Odds of winning will depend upon the number of eligible entries received. For full Official Rules and how to enter without becoming a Current member, visit https://www.current.com/beast250. Sponsor: Finco Services, Inc. d/b/a Current, 30 Cooper Square, Floor 4, New York, NY 10003."
"wwkH0prchjQ","Minecraft Speedrunner VS $1,000,000 MrBeast Challenge","2022-07-30T09:15:09Z","UCTkXRDQl0luXxVQrRQvWS6w","Dream","20","22.01.08","Dream Minecraft|dream Minecraft youtube|minecraft|dream|Speedrunner vs 3 hunters|Speedrunner vs someone trying to stop them|Beating Minecraft but my friend tries to stop me|Minecraft but water rises every minute|minecraft but lava rises every minute|minecraft but challenge|minecraft challenge|challenge|minecraft 1.14|beating minecraft|rematch|finale|finale rematch|grand finale|grand","8813978","0","0","51811","https://i.ytimg.com/vi/wwkH0prchjQ/default.jpg","False","True","Minecraft Speedrunner VS $1,000,000 MrBeast Challenge. This was INSANE. A new challenge.Patreon (Plugin): https://www.patreon.com/DreamWasTakenFree $15 with Code DREAMYT: http://cash.app/13+Follow my socials:➽ Twitter - @dream➽ Instagram - @dreamwastaken➽ Snapchat - @dreampublicMerch: https://www.dream.shopMr Beast: @MrBeast BadBoyHalo: @BadBoyHalo George: @GeorgeNotFound Sapnap: @Sapnap This video is a different rendition of my normal challenge videos, where there are THREE hunters trying to stop me from beating Minecraft.We're so close to 30 million subscribers! Make sure to subscribe :) also congrats to Mr Beast on 100 million!!!In this challenge, the pot starts at 1 million dollars and it goes down $69 every 1 second. When I beat the game, the money that's left is given away to a RANDOM SUBSCRIBER! So make sure to subscribe! There's a catch though. If I don't beat the game quick enough, the money goes into the negatives, and that's how much I have to pay my 3 friends that are hunting me down!It's a race, and it's super intense and we had a lot of laughs. I love doing these challenges.If this video gets 1,000,000 likes, I might try and convince someone else to do it! Not Minecraft, But Water Rises or Minecraft, But Lava Rises, or any other but challenge like that. This is a speed run / speed runner of Minecraft against a killer / assassin#MrBeastHunt"
"cArmrPDp8sY","День сто пятьдесят шестой. Беседа с @Alexey Arestovych Алексей Арестович","2022-07-29T19:47:47Z","UCQVtD_N4OeD-9PshBq7NwyQ","ФЕЙГИН LIVE","25","22.01.08","фейгин live|фейгин лайф|марк фейгин|mark feygin|фейгин|марк фейгин стрим|фейгин марк|новости|политика|экономика|общество|прямой эфир|прямая трансляция|стрим|Society|Politics|общество и политика","1981899","0","0","5142","https://i.ytimg.com/vi/cArmrPDp8sY/default.jpg","False","True","#Фейгин #ФейгинLIVE День сто пятьдесят шестой. Беседа с Алексеем Арестовичем (Киев).https://feygin-live.customprint.market/uk сайт с фирменным дизайном, если вы проживаете в Украине.https://feygin-live.myspreadshop.ie сайт с фирменным дизайном, если вы проживаете в Европе, Азии и Ближнем Востоке.https://feygin-live-usa.myspreadshop.com сайт с фирменным дизайном, если вы проживаете в Северной и Южной Америке, Африке и Тихоокеанском регионе.Подписка на PATREON https://www.patreon.com/feygin_liveЗачем нужна подписка на PATREON https://youtu.be/vcVmXQD7hrsПоддержите ФЕЙГИН LIVE: https://donate.stream/feyginliveПоддержите ФЕЙГИН LIVE: https://www.donationalerts.com/r/feygin_liveРеквизиты для поддержки проекта:Перевод с любой банковской карты https://buy.stripe.com/3cs03j5drbasg2Q004 недоступный для контроля российских регуляторов! Paypal: https://paypal.com/donate/?hosted_button_id=M77VR7HP9FELL&source=urlЯндекс-кошелек (в рублях): https://yoomoney.ru/to/4100116535768948QIWI Кошелек: https://qiwi.com/n/FEYGINLIVEBitcoin: 16rWnEwYErcknE2QWAJwRcGMw8L6cCjXLhETH: 0xe02B9F3b530a0AAf58B626Ad819672FF5c355Aee (убедитесь, что сеть верна: Ethereum (ERC20).USDC: 0xe02B9F3b530a0AAf58B626Ad819672FF5c355AeeДля пожертвований из Украины и Казахстана перечисляйте на кошельки платформы advcash.com на аккаунт feyginlive@gmail.comПодписывайтесь на Марка Фейгина в соцсетях:Твиттер Марка Фейгина - https://twitter.com/FeyginMark4Фейсбук Марка Фейгина - https://www.facebook.com/mark.feygin.z Телеграмм-канал - https://t.me/MarkFeyginПодкасты - https://castbox.fm/ch/3077294Почта для корреспонденции - feyginlive@gmail.com"
"oWIJhJQYN4o","Егор Крид - We Gotta Get Love (Премьера клипа, 2022)","2022-07-22T09:00:45Z","UCZeinbsBPa37qf4HPj_w-lw","Егор Крид","10","22.01.08","Егор Крид|We Gotta Get Love|Премьера клипа 2022|премьера|клип|егор крид клип|егор|крид|крид we gotta get love|новый клип крида|egor kreed|kreed|клип 2022|новая музыка 2022|music video|русский рэп|video|егор крид ви готта гет лав|ви гатта гет лав|я снова один в этом ламбо","3889768","0","0","8321","https://i.ytimg.com/vi/oWIJhJQYN4o/default.jpg","False","True","Слушай трек везде - https://lnk.to/EGORKREED_WGGLЕгор Крид - We Gotta Get Love (Премьера клипа, 2022)Блогинг Канал -  @KREED FAMILY Игровой Канал -  @EGOR KREED GAMING  ТЕЛЕГРАМ КАНАЛ - https://t.me/egorkreedМОЙ ТВИЧ - https://www.twitch.tv/EGORKREEDСоц. сети Егора Крида:- Instagram: https://www.instagram.com/egorkreed- Tik Tok: https://www.tiktok.com/@egorkreed- ВКонтакте: https://vk.com/egorkreedKIRILLIN x LUCKY productionDirector: Kate Yak @kate_yakDoP: Vitaly Sechenov @sechenov_dopProducer: Svetlana Lucky @svetlanaluckyCasting director: Izabella Tsibizova @izabellatsibizova Stylist: Valeriya Shulikova @vv_valeraProduction designer: Tatyana Melnikova @tany_melnikova1101Make Up & Hair: Lusya Shishkova @luiloveyouEdit: Tim Rizaev @timrizaevEffects: Efim Kitaev @kitprodFocus puller: Yuliya Osipova @magic_yuuClean Up: Alexey Repin @_alexeyrepin_Konstantin Evtukhov @evtukhov.fxColor grading: Alexandr Zolotarev @alexandrezolotarevCG: t7.production#ЕгорКрид #WeGottaGetLove #ПремьераКлипа"
"dILGoMZ0UTk","Мы с голой жопой, а у ВСУ - HIMARS и наша техника - Стрелков","2022-07-31T12:16:36Z","UCKCVeAihEfJr-pGH7B73Wyg","УНІАН","25","22.01.08","unian|униан|уніан|news|новости|новини|#стрелков|#гиркин|#всу|#зсу|#рф|#оккупанты|#шойгу|#путин","1674025","0","0","4983","https://i.ytimg.com/vi/dILGoMZ0UTk/default.jpg","False","True","#новости​ #новостионлайн​ #новостиукраины #новини​ #свежиеновости​ #новостимира #путин #шойгу #стрелков #оккупанты #зсу #всу #рф #гиркинUA - Гіркін вкотре підтверджує успішний бойовий розвиток ЗСУ. І як ця армія зможе перемогти?До сих пор не подписаны на УНИАН в Telegram? https://t.me/uniannetRU - Гиркин в очередной раз подтверждает успешное боевое развитие ВСУ. И как эта армия сможет победить?"
"r8OodN1apJg","Турбо Гольф 4х4 дубасит! Финал проекта.","2022-07-26T14:37:12Z","UCG4yz4wtp2E5S62L06yqC9w","ИЛЬДАР АВТО-ПОДБОР","2","22.01.08","эльдар|авто|подбор|падбор|ильдар|ильдпр|автоподбор|эльдпр|элдар|илдар|vw|vv|wv|ww|golf|golf4|gti|1.8t|awu|aeb|adr|agn|aum|agu|awt|awm|turbo|ea|113|octavia|oktavia|skoda|volkswagen|wolkswagen|wolksvagen|vag|wag|шкода|агу|адр|агн|рс|rs|октавия|октавиа|актавия|актавиа|гольф|голф|гти|1.8т|турбо|фольксваген|вольксваген|гольф4|4моушн|4motion|motion|проект|валит|5сек|100кмч|6сек|строим|делаем|ремонт|воскрешение|восстановление|нагибатор|новый|к03|к04|k03|k04|гибрид|часть|седьмая|серия|7я|чип|тюнинг","2561227","0","0","10100","https://i.ytimg.com/vi/r8OodN1apJg/default.jpg","False","True","Заключительная серия саги про Гольф 4 Турбо 4х4!Здесь мы доводим этот проект до конца, впервые выезжаем, делаем замеры разгона, настройку, чип тюнинг и устраняем оставшиеся косяки ))Наконец-то можно официально заявить, что проект закончен... или нет?Если Вы не смотрели предыдущие части, то вот ссылки:Первая часть: https://youtu.be/i7Jiy4Ifw20Вторая часть: https://youtu.be/2egXlru-zpkТретья часть: https://youtu.be/_lRKtvA-e5EЧетвёртая часть: https://youtu.be/xpqhSr1Kg3oПятая часть: https://youtu.be/43CQF3i0qjQШестая часть: https://youtu.be/tc_hSFVd4D0Ильдар Авто-подбор это официальный канал группы компаний АП. Работаем c 2013 года. По всей России. Чем мы можем Вам помочь:✔ Подбор автомобилей с гарантией. Проверка по 105 пунктам. Экспертиза, оценка авто: https://podbor.org✔ Выучиться на права - Автошкола в Москве: https://school.podbor.org✔ Страхование по всей России ОСАГО/КАСКО: https://ins.podbor.org✔ Автосервис. Ремонт, обслуживание авто в Москве и СПб: https://service.podbor.org✔ Помощь нашего юриста. Консультации, суды, защита: https://lawyer.podbor.org✔ Вкуснейший натуральный Мёд с пасеки моего отца: https://honey.podbor.orgДля тех, кто хочет поддержать наш Благотворительный проект: https://podbor.org/charity/Обращайтесь! Мы всегда Вам рады!"
"S2ABIOsm6sw","Фейгин. Возврат Херсона, арест Гордона, шнырь Шарий, Арестович, Путин, циничный Эрдоган, агент Кедми","2022-07-25T15:00:12Z","UCCcprrrcbdaj14kYPjcbj9w","В гостях у Гордона","22","22.01.08","Dmitry Gordon (Person)|Дмитрий Гордон|Гордон|В гостях у Гордона|В гостях у Дмитрия Гордона|интервью|интервью гордона|интервью гордона с фейгиным|интервью фейгина гордону|гордон фейгин интервью|фейгин гордон интервью|марк фейгин|фейгин|фейгин гордон|гордон фейгин|фейгин интервью|фейгин у гордона|фейгин в гостях у гордона|Соловьев|Киселев|Скабеева|Симоньян|HIMARS|Антоновский мост|Орбан|Арестович|Херсон|Кедми|Шарий|Путин|Эрдоган|Саймс|арест Гордона","2266289","0","0","3054","https://i.ytimg.com/vi/S2ABIOsm6sw/default.jpg","False","True","Интервью Дмитрия Гордона с адвокатом, экс-депутатом Государственной думы России Марком Фейгиным. 2022 годОфициальный канал программы В гостях у Дмитрия Гордонаhttps://www.youtube.com/user/vgostyahugordona?sub_confirmation=1Официальный канал Дмитрия Гордона https://www.youtube.com/user/DmytriyGordon?sub_confirmation=1Следите за новостями и читайте аналитику на общественно-политическом сайте ГОРДОН: http://gordonua.com/По вопросам рекламы пишите на editor@gordonua.comОфициальный магазин с мерчем, конфетами и зефиром Дмитрия Гордона: https://gordonshop.com.uaПрисоединяйтесь к нам в соцсетях!https://www.instagram.com/gordondmytrohttps://www.facebook.com/gordondmitryhttps://www.tiktok.com/@gordondmytro?https://twitter.com/dmitry_gordonhttps://t.me/dmytrogordon_officialhttps://www.facebook.com/gordonuacomhttps://t.me/s/gordonuacomhttps://cutt.ly/Viber_GORDONhttps://twitter.com/Gordonuacom0:00 «Ситуация на фронтах внушает оптимизм. Тяжелая фаза на востоке уже пройдена»0:48 о начале деоккупации юга Украины2:00 о ничтожном результате российской армии: «Время работает на пользу Украины»2:59 «Тон пропагандистской своры не изменился»5:13 «Меня удивляет, что в Израиле нет реакции на агента Кедми»6:48 «Американским спецслужбам выгодно контролировать Саймса»7:38 «Скоро по Шарию будет масса новостей»8:40 «Шарий засветился, он безусловно получал деньги от России и был на кураторский связи»10:21 о криминальных способностях Шария: «Он такой шнырь, который нужен был России»12:20 «В аппарате Путина коктейль из страха и неуверенности. Они не понимают, ради чего все это»14:08 о жулике Мишустине15:18 «Чтобы появилось желание что-то изменить, санкции должны быть тотальными»17:30 «Путин ищет способ избежать военного поражения»19:20 «Август – роковой месяц для России»20:06 «Пути назад у Путин нет, он сам себя загнал»21:15 «Эрдоган нравственно амбивалентен и циничен»25:07 «Орбан завязан по деньгам и участвует в газовых делах»27:26 о том, что в мозгах россиян29:22 «Ничего, кроме бунта, у россиян не осталось»30:17 «Вы беднеете и подыхаете, а ради чего?»32:28 об интервью с Арестовичем35:42 Гордону: «Лубянка ненавидела вас всегда»37:40 о компенсации России за ущемление прав и преследование ГордонаФейгин. Возврат Херсона, арест Гордона, шнырь Шарий, Арестович, Путин, циничный Эрдоган, агент КедмиВ гостях у Дмитрия Гордона — авторская программа Дмитрия Гордона, которая выходит с 1996 года. Формат программы — беседы с выдающимися современниками: деятелями культуры, искусства, науки, спорта и политики. Это люди, которым есть что сказать о себе и об эпохе. В разные годы ее героями были Михаил Ходорковский, Вахтанг Кикабидзе, Александр Невзоров, Виталий и Владимир Кличко, Андрей Шевченко, Гарри Каспаров, Владимир Зеленский, Моргенштерн, Андрей Данилко, Андрей Макаревич, Роман Виктюк, Армен Джигарханян, Николай Амосов, Михаил Горбачев, Виктор Ющенко, Леонид Кравчук, Михаил Жванецкий, Евгений Евтушенко, Муслим Магомаев, Олег Блохин, Виктор Суворов, Михаил Саакашвили, Борис Березовский... Всего — более 1000 знаменитостейДрузья, мы рады комментариям и дискуссии, но нецензурная лексика будет удаляться, а злостные нарушители — баниться."
"dZklZVaU4AI","100,000,000 Subscriber Special","2022-07-31T21:00:01Z","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast","24","22.01.08","[none]","4748398","0","0","37418","https://i.ytimg.com/vi/dZklZVaU4AI/default.jpg","False","True","Set a reminder for Thursday, August 4th 4pm EST #shorts #mrbeast"
