video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"0UIY-0vSQuY","PRZEGRANY MUSI POWIĘKSZYĆ USTA...","2022-07-30T13:00:56Z","UCwBtP6NDQtsP5YBa4vuZqHA","Karol Friz Wiśniewski","24","22.01.08","friz|frizoluszek|Dom ekipy|Wersow|Ekipa|Mieszkanie ekipy|Friz chata|Friz dom|chata ekipy|lody ekipy|genzie|hania|mortalcio|karotni|przemek pro","1324717","0","0","1571","https://i.ytimg.com/vi/0UIY-0vSQuY/default.jpg","False","True","►WPADAJ NA SKLEP EKIPY ►► http://EKIPATONOSI.PL ►WPADAJ NA SKLEP EKIPY ►► http://EKIPATONOSI.PL ♦ INSTAGRAM ► FRIZ: http://instagram.com/frizoluszekBARTEK: https://www.instagram.com/swiezy1597♦ INFORMACJE GIEŁDOWE:► http://ekipaholding.pl► http://ekipaholding.pl♦♦ PRACUJ Z NAMI! ► frizpraca@gmail.comW filmie wzięli udział:♦ GENZIE YT ► https://www.youtube.com/c/genziee♦ WERONIKA YT ► https://www.youtube.com/channel/UCtVy1X-hcxAL2ZlS6TqMQFw♦ MORTALCIO YT ► https://www.youtube.com/channel/UCkME4oyw3ADSkfhISmVNZ7w♦ WIKTORIA YT ► https://www.youtube.com/c/Kartonii♦ KASIA YT ► https://www.youtube.com/channel/UCEDh4HzlkIUlln_gp0CdJ3A♦ EKIPA YT ► https://www.youtube.com/c/EKIPAYTInstagramy:♦ WERONIKA INSTA ► https://www.instagram.com/wersow♦ PATRYK INSTA ► https://www.instagram.com/mortalcioyt/?hl=pl♦ WIKTORIA INSTA ► https://www.instagram.com/kartonii/?hl=pl♦ HANIA INSTA ► https://www.instagram.com/hi_hania/?hl=pl♦ ŚWIEŻY INSTA ► https://www.instagram.com/swiezy1597/?hl=pl♦ BARTEK INSTA ► https://www.instagram.com/bartekkubicki/?hl=pl♦ FAUSTYNA INSTA ► https://www.instagram.com/faustynaf/♦ PRZEMEK INSTA ► https://www.instagram.com/przemek.pro/WSZYSCY EKIPOWICZE:GENZIE: https://www.youtube.com/c/genzieeMORTALCIO: https://www.youtube.com/channel/UCkME4oyw3ADSkfhISmVNZ7whttps://www.instagram.com/mortalcioytWIKTORIA: https://www.youtube.com/c/Kartoniihttps://www.instagram.com/kartonii/?hl=plHANIA: https://www.instagram.com/hi_hania/?hl=plŚWIEŻY: https://www.instagram.com/swiezy1597/?hl=plBARTEK: https://www.instagram.com/bartekkubicki/?hl=plFAUSTYN: https://www.instagram.com/faustynaf/PRZEMEK: https://www.instagram.com/przemek.pro/PAULINA: https://www.youtube.com/channel/UCm1IJ7FsDN32B_1lgtKUBZwhttps://www.instagram.com/paulinaakozlowska/?hl=plWUJEK ŁUKI: https://www.instagram.com/wujekluki/KASIA: https://www.youtube.com/channel/UCEDh4HzlkIUlln_gp0CdJ3Ahttps://www.instagram.com/fusialka/TROMBA: https://www.youtube.com/c/TrombaBombahttps://www.instagram.com/trombabomba/MINI MAJK: https://www.youtube.com/channel/UCTb6wo_qUv5uT20NCSJOQ8Qhttps://www.instagram.com/_minimajk/MARTA: https://www.youtube.com/channel/UC6vR16NYm5jEPOx1LtAz7QAhttps://www.instagram.com/murcix/POCZCIWY KRZYCHU: https://www.youtube.com/channel/UClW-5AzH7AhPVeOYcn1vwLwhttps://www.instagram.com/poczciwykrzychu/PATEC: https://www.youtube.com/channel/UCYsZvmJGPzTMSBXES06-2lghttps://www.instagram.com/patec_wariatecNOWCIAX: https://www.youtube.com/channel/UCLRdwTmAnoL-Lr8W9qtiQkAhttps://www.instagram.com/nowciax/MARCYSIA: https://www.youtube.com/channel/UCfjqT197q_xmj62L7nB4w8Qwww.instagram.com/ryskalamarcysia/EKIPA YT: https://www.youtube.com/c/EKIPAYT"
"sElhLcagn0k","Neo-Nówka -Wigilia 2022 - Bez Cenzury (NOWOŚĆ)","2022-07-31T09:46:59Z","UCTrnBUzPGlOVSnCXzP-PhsA","Neo-Nówka TV OFICJALNY KANAŁ","24","22.01.08","NeoNowka|Neonowka|Neonówka|Neonowka Koszalin|Neonowka 2022|Wigilia 2022|Wigilia|Neonowka wigilia|Neonowka wigilia 2022|Kabaret|Kabarety|Kabaret 2022|Kabarety 2022|Skecze|Kabaret neonowka|neonowka Polsat|neo","417489","0","0","985","https://i.ytimg.com/vi/sElhLcagn0k/default.jpg","False","True","Nowa wersja kultowego skeczu WigiliaTrasa „XX-lecie na BIS”05.08 EŁK AMFITEATR ECK 06.08 GIŻYCKO AMFITEATR 07.08 WARSZAWA AMFITEATR BEMOWO26.08 KOŁOBRZEG AMFITEATR27.08 SOPOT AMFITEATR PRZY AQUAPARKU28.08 OSTRÓDA AMFITEATR08.10 WROCŁAW TV POLSAT HALA ORBITA09.10 WROCŁAW TV POLSAT HALA ORBITA21.10 CZĘSTOCHOWA FILHARMONIA CZĘSTOCHOWSKA 22.10 TARNOWSKIE GÓRY HALA 22.10 BĘDZIN ARENA 23.10 OSTROWIEC ŚWIĘTOKRZYSKI MOSIR23.10 MIELEC HALA 29.10 POZNAŃ SALA ZIEMI 30.10 BYDGOSZCZ ŁUCZNICZKA31.10 TORUŃ JORDANKI12.11 CIECHANÓW HALA MAZOVIA 13.11 SUWAŁKI ARENA 13.11 OLECKO HALA14.11 BIAŁYSTOK OPERA 18.11 GDYNIA ARENA19.11 MŁAWA HALA 19.11 BRODNICA HALA 20.11 LEGIONOWO HALABilety dostępne w miejscu zakupu 😉"
"CafpJH9zMlI","OPUŚCIŁEM DOM EKIPY! OTO MOJE NOWE MIESZKANIE","2022-07-31T16:00:06Z","UClW-5AzH7AhPVeOYcn1vwLw","Poczciwy Krzychu","24","22.01.08","[none]","422574","0","0","895","https://i.ytimg.com/vi/CafpJH9zMlI/default.jpg","False","True","WItam witam w nowym filmie! Zostaw subika, kciuka w górę i dzwonek by być na bieżąco  :)▪️ Moj instagram: https://www.instagram.com/PoczciwyKrzychu/▪️ Friz: https://www.instagram.com/Frizoluszek/▪️ Tromba: https://www.instagram.com/trombabomba/▪️ Wujek luki: https://www.instagram.com/Wujekluki/▪️ Mini majk: https://www.instagram.com/_minimajk/▪️ Weronika: https://www.instagram.com/Wersow/▪️ Kasia: https://www.instagram.com/Fusialka/▪️ Marta: https://www.instagram.com/Murcix/▪️ Nowciax: https://www.instagram.com/nowciax/▪️ Patec: https://www.instagram.com/Patec_wariatec/▪️ Marcysia: https://www.instagram.com/ryskalamarcysia/▪️ Sklep ekipy: https://www.ekipatonosi.pl/"
"3nfmR9iy-ZI","KęKę - Możesz mi prod. ADZ, Foxs","2022-07-28T06:55:53Z","UCsFfolMaE4DsBATPVwu3pkQ","Takie Rzeczy Label","10","22.01.08","KęKę|Możesz mi|Takie Rzeczy Label|ADZ|Foxs|Piotr Siara|keke|music|polish music|polska muzyka|muzyka|rap|rap polski|polish rap|hh|hiphop|hip-hop|hip hop|hit|polski hiphop|rapsy|trap","918284","0","0","2156","https://i.ytimg.com/vi/3nfmR9iy-ZI/default.jpg","False","True","👉 MUZYKA I ODZIEŻ:  http://www.takierzeczy.com👉 SUBSKRYBUJ: https://bit.ly/2Khy9LP⬇ ⬇ ⬇ KLIKNIJ TUTAJ PO WIĘCEJ ⬇ ⬇ ⬇Utwór Możesz mi to pastisz love songów o złamanym sercu. Historia o zepsutym związku jest fikcyjna. Ewentualne podobieństwa są przypadkowe. A reszta to śmiech przez łzy:)Możesz mi w serwisach cyfrowych:https://e-muzyka.ffm.to/kekemozeszmiBooking/Management - marta.nizio@bashesh.comRap: Piotr KęKę SiaraKęKę FB https://www.facebook.com/KeKeOficjalnieKęKę IG https://www.instagram.com/kekeoficjalnieMuzyka: ADZ, FoxsADZ FB https://www.facebook.com/adzproductionADZ IG https://www.instagram.com/adzonthebeatFoxs FB https://www.facebook.com/mixedbyfoxsFoxs IG https://instagram.com/foxs_ystudioNagranie/Mix/Master Dj Deszczu Strugi Otrabarwa Recording Studio Otrabarwa FB https://www.facebook.com/OtrabarwaStudioOtrabarwa IG https://www.instagram.com/otrabarwastudioTakieRzeczyLabel FB https://www.facebook.com/takierzeczycomTakieRzeczyLabel IG https://www.instagram.com/takierzeczylabelVideo: Marta Smerecka dla Studio LepiejStudio Lepiej FB https://www.facebook.com/studiolepiejStudio Lepiej IG https://www.facebook.com/studiolepiej#kękę #możeszmi #takierzeczylabel"
"ipdgjCbMgno","WYDAŁEM 1.800.000zł na DWA śmietniki! WTOPA ŻYCIA.","2022-07-31T09:59:54Z","UC9SoogoWnlKeUEfvBS4rzrw","Miłośnicy czterech kółek -zrób to sam","2","22.01.08","CADILLAC ESCALADE|ram trx|auto micha|nowe auto micha|michu m4k|sąd|pozew|duda vs michu|miłośnicy4kółek|milosnicy4kolek|m4k|zróbtosam|hitczykit|hit|kit|mechanikapojazdowa|autodlawidza|faniczterechkolek|fani4kolek|tuning|warsztatsamochodowy|m4k garage|michal jesionowski","329446","0","0","2418","https://i.ytimg.com/vi/ipdgjCbMgno/default.jpg","False","True","Nie ma ludzi nieomylnych, ale w tej sytuacji powiem wam mój błąd a może nie mój, kosztował mnie majątek pieniędzy za 2 auta które są nie sprawne od pół roku i ? No właśnie oglądajcie.Koniecznie zostaw suba by nieprzegapić odcinków.DEKODER VIN od Carvertical, dzięki któremu wygenerujesz raport z historią auta + 10% rabatu z linku-----------------------------------------------------------------https://www.carvertical.com/pl/landing/v3?utm_source=infl&a=milosnicy4kolek&b=596ea163&voucher=milosnicy4kolek STREFA OKAZJI I PROMOCJI Allegro dla widzów M4K. CENY SPADAJĄ JUŻ PO 12:20, SPRAWDŹ ATRAKCYJNE OFERTY W OKAZJACH ALLEGRO:------------------------------------------------------------------------------https://na.allegro.pl/PROMO_M4K------------------------------------------------------------------------------MIERNIK LAKIERU GL-SMARTS-S OD PRODIG-TECH JUŻ TERAZ W OKAZYJNEJ CENIE-----------------------------------------------------------------------------https://allegro.pl/oferta/miernik-grubosci-lakieru-gl-smart-s-2-aplikacje-12438929175----------------------------------------------------------------------------Szukasz tanio ubezpieczenia? Koniecznie zajrzyj na Mubi.plspecjalnie dla widzów M4K przygotowano ofertę za zakup dowolnego OC wraca na twoje konto 150zł------------------------------------------------------------------------------------------https://mubi.pl/milosnicy4kolek/---------------------------------------------------------------------------------Nie kupowałeś polisy w Mubi? Zgarnij 150 zł + 2000 zł za polecanie---------------------------------------------------------------------------------Szukasz dobrych części tuningowych do swojego auta? Zajrzyj koniecznie do ekipy FMIC------------------------------------------------------------------------------------https://allegro.pl/uzytkownik/FMIC_PL------------------------------------------------------------------------------------Meble warsztatowe których się nie powstydzimy :)------------------------------------------ http://fastservice.pl OFICJALNY SKLEP MIŁOŚNIKÓW 4 KÓŁEK--------------------------------------------------------------------https://sklep.milosnicy4kolek.pl/--------------------------------------------------------------------CHCESZ OTWORZYĆ Z NAMI WARSZTAT M4K GARAGE?NAPISZ tutaj: franczyza@m4k.pl-----------------------------------------------------WARSZTATY M4K GARAGE sprawdźcie co u nich:https://www.m4kgarage.pl/-----------------------------------------------------🛠M4K GARAGE - profil główny całej siecihttps://www.facebook.com/m4kwarsztathttps://www.instagram.com/m4kgarage/🛠 M4K GARAGE ŁÓDŻ - JUŻ OTWARTYhttps://www.facebook.com/m4klodzhttps://www.instagram.com/m4kgaragelodz/?hl=pl🛠  M4K GARAGE KATOWICE - JUŻ OTWARTYhttps://www.facebook.com/m4kkatowicehttps://www.instagram.com/m4kgaragekatowice/🛠  M4K GARAGE ELBLĄG - JUŻ OTWARTYhttps://www.facebook.com/m4kelblaghttps://www.instagram.com/m4kgarageelblag/🛠 M4K GARAGE POZNAŃ - w tokuhttps://www.facebook.com/m4kpoznanhttps://www.instagram.com/m4kgaragepoznan/🛠 M4K GARAGE LUBLIN - w przygotowaniuhttps://www.facebook.com/m4klublinhttps://www.instagram.com/m4kgaragelublin/?hl=pl🛠M4K GARAGE SZCZECIN - JUŻ OTWARTY!https://www.facebook.com/m4kszczecinhttps://www.instagram.com/m4kgarageszczecin/🛠M4K GARAGE KIELCEhttps://www.facebook.com/m4kkielcehttps://www.instagram.com/m4kgaragekielce/🛠 M4K GARAGE WROCŁAWhttps://www.facebook.com/M4KGarageWroclawhttps://www.instagram.com/m4kgaragewroclaw/🛠 M4K GARAGE KOŚCIERZYNAhttps://www.facebook.com/m4kkoscierzynahttps://www.instagram.com/m4kgaragekoscierzyna/🛠 M4K GARAGE SZEMUDhttps://www.facebook.com/m4kszemudhttps://www.instagram.com/m4kgarageszemud/WSPÓŁPRACAwspolpraca@m4k.plKONTAKT dla widzówinfo@milosnicy4kolek.pl#dziwnehistorie #cadillac"
"JwHYPUHTBr4","ZSZYŁAM USZY!","2022-07-30T10:02:46Z","UCfjqT197q_xmj62L7nB4w8Q","Marcysia Ryskala","22","22.01.08","[none]","321949","0","0","501","https://i.ytimg.com/vi/JwHYPUHTBr4/default.jpg","False","True","♥ Subskrybuj aby być na bieżąco! 😎♥ Wbijaj na instagrama! 📸 https://www.instagram.com/ryskalamarcysia/EKIPA YT:• Tromba: https://www.youtube.com/channel/UCkbpEIF1GKSXBn8YqjN0vyQ• Friz: https://www.youtube.com/user/StudioFreeZe• Wersow: https://www.youtube.com/channel/UCtVy1X-hcxAL2ZlS6TqMQFw• MiniMajk: https://www.youtube.com/channel/UCTb6wo_qUv5uT20NCSJOQ8Q• Poczciwy Krzychu: https://www.youtube.com/channel/UClW-5AzH7AhPVeOYcn1vwLw• Marta: https://www.youtube.com/channel/UC6vR16NYm5jEPOx1LtAz7QA• Patec: https://www.youtube.com/channel/UCYsZvmJGPzTMSBXES06-2lgEKIPA INSTAGRAM:• Tromba: https://www.instagram.com/trombabomba/• Patec: https://www.instagram.com/patec_wariatec/• Kasia: https://www.instagram.com/fusialka/• Wujaszek: https://www.instagram.com/wujekluki/• Mini Majk: https://www.instagram.com/_minimajk/• Krzychu: https://www.instagram.com/poczciwykrzychu/• Friz: https://www.instagram.com/frizoluszek/• Weronika: https://www.instagram.com/wersow/• Marta: https://www.instagram.com/murcix/• Puszek i Okruszek: https://www.instagram.com/puszekokruszek_/• • • Współpraca: marcysia@gethero.pl • • •"
"4MwP0_7sOOs","UKRYTY POKÓJ W NOWYM DOMU!","2022-07-30T12:00:01Z","UCtVy1X-hcxAL2ZlS6TqMQFw","WERSOW","24","22.01.08","WERSOW|TEAMSÓWKI|weronikasowa|nowy członek|ekipa|dom ekipy|friz|q&a|karol wiśniewski|sekret|tromba|marcysia|murcix|nowciax|patecki|poczciwy krzychu|minimajk|WUJEK LUKI|FUSIALKA|KASIA|CHALLENGE|NIESPODZIANKA|EKIPA FRIZA|mój nowy pokój|mój ukryty pokój|ukryty pokój w naszym nowym domu|sesja zdjęciowa|studio zdjęciowe w domu|wichura w naszym domu|pierwsza sesja zdjęciowa|nasz nowy dom|kupiliśmy dom|moja garderoba w nowym domu|urządzam swój dom|urządzam garderobę","742498","0","0","1248","https://i.ytimg.com/vi/4MwP0_7sOOs/default.jpg","False","True","Cześć! W dzisiejszym odcinku zobaczycie mój ukryty pokój w naszym nowym domu. Dodatkowo pokażę Wam moją garderobę, jak ją zaplanowałam i urządziłam. Podczas sesji zdjęciowej była nieoczekiwana, ogromna burza, dlatego razem z Karolem musieliśmy ratować nasz ogród. Jesteście ciekawi jak wygląda mój pokój i co tam się znajduje? Koniecznie zobaczcie do końca! ❤️🦉 Kliknij aby dołączyć do #TEAMSOWKI (Link skrócony): https://tiny.pl/tqzgz🦉 MÓJ INSTAGRAM ► https://www.instagram.com/wersow  📸🦉 MÓJ SKLEP ► https://wersow.com/ 🌐♦ EKIPA YT ► https://www.youtube.com/c/EKIPAYT ♦ FRIZ YT ► https://www.youtube.com/user/StudioFreeZe ♦ MINI MAJK YT ►https://www.youtube.com/channel/UCTb6… ♦ TROMBA YT ► https://www.youtube.com/c/TrombaBomba ♦ NOWCIAX YT ► https://www.youtube.com/channel/UCLRdwTmAnoL-Lr8W9qtiQkA♦ MARTA YT ►https://www.youtube.com/channel/UC6vR16NYm5jEPOx1LtAz7QA♦ POCZCIWY KRZYCHU YT ► https://www.youtube.com/channel/UClW-5AzH7AhPVeOYcn1vwLw♦  MARCYSIA YT ► https://www.youtube.com/channel/UCfjqT197q_xmj62L7nB4w8Q♦  PATEC YT ►  https://www.youtube.com/channel/UCYsZvmJGPzTMSBXES06-2lg♦  FUSIALKA YT ► https://www.youtube.com/channel/UCEDh4HzlkIUlln_gp0CdJ3A♦ FRIZ INSTA ► http://instagram.com/frizoluszek ♦ CHMURKA INSTA ► https://instagram.com/chmurkaekipy♦ TROMBA INSTA ► https://www.instagram.com/trombabomba/ ♦ MINI MAJK INSTA ► https://www.instagram.com/_minimajk/ ♦ WUJEK ŁUKI INSTA ► https://www.instagram.com/wujekluki/ ♦ KRZYCHU INSTA ► https://www.instagram.com/POCZCIWYKRZYCHU♦ MARTA INSTA ► https://www.instagram.com/murcix/ ♦ KASIA INSTA ► https://www.instagram.com/fusialka♦ PATEC INSTA ► https://www.instagram.com/patec_wariatec/♦ MARCYSIA INSTA ► https://www.instagram.com/ryskalamarcysia/♦ NOWCIAX INSTA ►https://www.instagram.com/nowciax/?hl=pl♦ ŁAPKA INSTA ► https://www.instagram.com/kot_lapka ♦ PUSZEK INSTA ► https://www.instagram.com/puszekokruszek_"
"5eI1D0_h3hc","FIFAE NATIONS CUP 2022: POLACY WICEMISTRZAMI ŚWIATA!","2022-07-30T16:43:51Z","UCalwFtq-BVcszKLZ5k2vbLw","TVP Sport","17","22.01.08","FIFAE|FIFA ESPORT|FIFA GRA|FIFA 2022|Damian Damie Augustyniak|Bartosza bejott Jakubowski|Kacper furman” Furmanek|Damie Fifa|damie fifae world cup 2022|bejott fifa|bejott esport|damie esport|bejott nations cup 2022|damie nations cup 2022|furman fifa|furman esport|furman nations cup 2022|polska mundial esport|polska fifae nations cup|fifae nations cup live|fifae nations cup stream","373693","0","0","86","https://i.ytimg.com/vi/5eI1D0_h3hc/default.jpg","False","True","POBIERZ NASZĄ APLIKACJĘ MOBILNĄ 📲👉 APP STORE: https://apple.co/3wvJAVu👉 GOOGLE PLAY: https://bit.ly/3wu4h3Z👉 HUAWEI APPGALERY:  https://bit.ly/39n68zA👉 SUBSKRYBUJ NASZ KANAŁ: https://www.youtube.com/user/sporttvppl?sub_confirmation=1Esportowa reprezentacja Polski awansowała do finału turnieju #FIFAeNationsCup. Biało-czerwoni po emocjonującym meczu wygrali w półfinale ze Szwecją 6:1. W finale zmierzyli się z Brazylią.FIFAe Nations Cup, półfinały:13:00 Włochy – Brazylia14:20 Szwecja – PolskaFinał:17:00 Brazylia – Polska👉 OGLĄDAJ TRANSMISJE SPORTOWE ON-LINE: https://sport.tvp.pl/👉 ODWIEDŹ NASZ FANPAGE: https://www.facebook.com/tvpsport/👉 ZAOBSERWUJ NAS NA INSTAGRAMIE: https://www.instagram.com/tvpsport/👉 ŚLEDŹ PROFIL NA TWITTERZE: https://twitter.com/sport_tvppl"
"l9HxpQz9eK8","on jej drink daje","2022-07-30T09:00:33Z","UCYA71OArBjDdc3fjHSOedFg","Marcin Dubiel","24","22.01.08","dubiel|marcin dubiel|team x|domownicy|ula|ulczi|dla pieniędzy|paweł svinarski|paweł dla pieniędzy|kuba|kubaoxo|kuba armada|walka|natsu|natalia karczmarczyk|fame|fame mma|konferencja|urodziny|julia kostera|chłopak julii kostery|filipooooooooo","137040","0","0","151","https://i.ytimg.com/vi/l9HxpQz9eK8/default.jpg","False","True","Instagram → https://www.instagram.com/marcindubiel​​Biotech: https://shop.biotechusa.plTikTok → @MarcinDubielTwitter → https://twitter.com/MarcinDubiDomownicy:Kuba IG: https://www.instagram.com/kubaoxo​​Ula IG: https://www.instagram.com/ulagrotynska​​Paweł IG: https://www.instagram.com/pawelsvinarski"
"36tzo-h74Sg","KTO OSTATNI WYJDZIE Z AUTA WYGRYWA JE!","2022-07-28T12:00:01Z","UCBp1uKUOq9oEcLFEsNutcbw","Jawor","24","22.01.08","jaworsski|jaworssski|jawor|funny|montage|montaz|jaworski|kto ostatni|wyjdzie z auta|wygrywa je|jawor i ola|jawor vlog|jawor challenge|wyzwanie|kto ostatni wyjdzie","572226","0","0","958","https://i.ytimg.com/vi/36tzo-h74Sg/default.jpg","False","True","MÓJ INSTAGRAM - https://www.instagram.com/jaworyoutube/INSTAGRAM OLI - https://www.instagram.com/zukoll/KANAŁ OLI - @Zukoll Współpraca/kontakt - Jawor@stormmedia.gg"
